,neg,neu,pos
im really enjoying the google android experience on pixel 7 also the lemongrass color is so beautiful you owe me google buds pro now d,0.003000000026077032,0.007000000216066837,0.9900000095367432
my job gave me a free pixel 7 pro and im using it as my work phone ngl i feel so cool having two phones n i love this phone ,0.0020000000949949026,0.008999999612569809,0.9890000224113464
the pixel 7 pro is a really good phone #teampixel,0.0020000000949949026,0.008999999612569809,0.9879999756813049
just bought google pixel 7 pro cant wait #pixel7pro,0.0020000000949949026,0.009999999776482582,0.9879999756813049
just picked up a pixel 7 pro love it so far,0.0020000000949949026,0.010999999940395355,0.9869999885559082
ive had my pixel 7 pro for a few days now and i can honestly say this phone is amazing,0.003000000026077032,0.009999999776482582,0.9869999885559082
i love how google really stepped up its haptics this year the google pixel 7 pro and the pixel watch have the best haptics i can remember ever experiencing on a pixel device the watch haptics is no joke makes me think a bit more about how apple does it #teampixel,0.004000000189989805,0.009999999776482582,0.9860000014305115
after 48 hours with the pixel 7 pro i can honestly say this is the best android phone out there so smooth who agrees #teampixel,0.003000000026077032,0.012000000104308128,0.9850000143051147
pixel 7 pro is also an amazing phone and the price makes it a very smart choice,0.003000000026077032,0.012000000104308128,0.9850000143051147
getting pixel 7 today excited ,0.0010000000474974513,0.013000000268220901,0.9850000143051147
got the pixel 7 and its a beast what google is doing with software is incredible #pixel7,0.004000000189989805,0.012000000104308128,0.984000027179718
this face unlock on the pixel 7 pro is boss im glad brought this feature back to the 7 series,0.003000000026077032,0.014000000432133675,0.984000027179718
battery life is definitely great on the pixel 7 series #teampixel,0.0020000000949949026,0.014000000432133675,0.984000027179718
your pixel 7 pro content has been great so far hoping the more you do the more reason you will be added,0.003000000026077032,0.013000000268220901,0.984000027179718
anybody have the pixel 7 yet im getting it next month when my pixel 5 plan expires best phones ever and they take the best pictures i cant wait to get the 7 id love to hear from somebody that has one already #pixel7 #pixel,0.003000000026077032,0.014000000432133675,0.9829999804496765
right now for me its between the xiaomi 12s ultra and the pixel 7 pro this was a great year,0.0020000000949949026,0.014999999664723873,0.9829999804496765
got a pixel 7 pro a few days ago and holy hell i freaking love this new phone i missed having a full google environment had a nokia with android one great phone if you dont want to pay flagship prices and i also missed the amazing photos pixels take so happy ,0.007000000216066837,0.010999999940395355,0.9819999933242798
google pixel 7 pro is the best personal assistant you can have i was able to take notes from meetings just by pressing the recorder button on my phone it automatically created a transcript loving it #googlepixel7pro #google #ai,0.003000000026077032,0.014999999664723873,0.9819999933242798
this new google pixel 7 pro is legit,0.004000000189989805,0.014000000432133675,0.9819999933242798
the pixel 7 pro camera quality is unmatched cant wait to see how it elevates my nudes,0.004000000189989805,0.01600000075995922,0.9810000061988831
pixel 7 is very very very nice,0.004999999888241291,0.014000000432133675,0.9810000061988831
separating how reviews are done for pixel 7 and pixel 7 pro is an amazing idea and ive noticed some creative reviews from some awesome creators since pixel 7 is the device for everyone and the pixel 7 pro is for enthusiasts and content creators heres some examples,0.003000000026077032,0.01600000075995922,0.9810000061988831
pixel 7 pros haptics are really good and the phone feels really smooth,0.004000000189989805,0.01600000075995922,0.9789999723434448
this pixel 7 pro and red rocks is a perfect combination,0.003000000026077032,0.017999999225139618,0.9789999723434448
i literally just got the pixel 7 pro and reading this got me giddy and excited for what one could do with kvm maybe give the ios users a shock by running ios in kvm lol,0.0020000000949949026,0.01899999938905239,0.9789999723434448
still cant get over how incredible the haptics are on the pixel 7,0.006000000052154064,0.01600000075995922,0.9779999852180481
finally retired my old galaxy note10 no joke the best phone i have ever owned google pixel 7 pro please dont fail me big shoes to fill,0.007000000216066837,0.014999999664723873,0.9769999980926514
honestly samsung has had some of the best biometric system ive used with the reliable fingerprint scanner and face unlock with the pixel 7 pro google has finally caught up to it and its so nice,0.006000000052154064,0.017000000923871994,0.9760000109672546
pixel 7 7 pro finally a solid pixel pixel buds pro really freakin good pixel watch its ok but buy a galaxy watch instead,0.003000000026077032,0.020999999716877937,0.9760000109672546
zoom on the pixel 7 pro is so smart and good,0.004000000189989805,0.01899999938905239,0.9760000109672546
just ordered the new pixel 7 pro and got the new pixel watch for free ive tried all other makes and variants of android but i always go back to the #pixel its just the best end of #pixel7pro #pixelwatch #google,0.004000000189989805,0.020999999716877937,0.9750000238418579
gonna plug the mac studio in tonight and start getting things set up always get excited for new hardware more excited about that than my pixel 7 pro tbh ,0.0020000000949949026,0.024000000208616257,0.9739999771118164
pixel 7 pro but both pictures are amazing,0.006000000052154064,0.019999999552965164,0.9739999771118164
from my experience with pixel 7 propersonally think that this is the smartest smartphone on the market google is focused on making the best software device on the market to give them a chance in the samsung vs iphone market speech to text might be my favourite one #teampixel,0.004000000189989805,0.023000000044703484,0.9729999899864197
google pixel 7 pro in hazel looks pretty nice ,0.0020000000949949026,0.02500000037252903,0.9729999899864197
battery on my pixel 7 pro is improving daily and significantly,0.0020000000949949026,0.026000000536441803,0.972000002861023
i got a new phone it finally came in the mail today and set up was so easy i got the pixel 7 with google fi ,0.0020000000949949026,0.026000000536441803,0.972000002861023
seriously loving the fact that i can actually do everything on my phone the big screen of the pixel 7 pro makes watching youtube or editing photos a pleasant experience every app and service i actually need is there my phone is my computer,0.006000000052154064,0.023000000044703484,0.9710000157356262
the google pixel 7 pro is soooooo smooooooth,0.007000000216066837,0.02199999988079071,0.9710000157356262
this pixel 7 pro is a must cop,0.006000000052154064,0.02500000037252903,0.9700000286102295
wife talking about phones i think i just want to move away from apple some of the most beautiful words ive heard any good android suggestions she and i were thinking the pixel 7 pro most likely my pixel 4 xl has been wonderful,0.008999999612569809,0.02199999988079071,0.968999981880188
went to best buy today just to play with tech and this is what i discovered pixel 7 pro definitely has the best haptic motor on android iphone 14 pm island isnt as satisfying in person and gets old fast galaxy s22 is still the most beautiful smartphone of all time,0.004999999888241291,0.02500000037252903,0.968999981880188
the fingerprint scanner on the pixel 7 pro is soooooooooo much better than last year yes the 6 pro was good but this years version keeps up with ultrasonic scanners ive used definitely an improvement for those curious i have 1 print of my right thumb and left thumb setup,0.006000000052154064,0.026000000536441803,0.9679999947547913
pixel 7 has the best camera on any phone in existence,0.007000000216066837,0.02500000037252903,0.9679999947547913
i ordered pixel 7 looking forward to receiving ,0.0020000000949949026,0.029999999329447746,0.9679999947547913
im liking the pixel 7 pro more than i expected and i havent tested the cameras yet,0.004999999888241291,0.02800000086426735,0.9670000076293945
one of my homies is ditching apple and going all in on the google ecosystem i couldnt be more proud lol he picked up the pixel watch pixel 7 pro and pixel buds,0.004999999888241291,0.029999999329447746,0.9649999737739563
snapchat on the pixel 7 pro takes full advantage of all 3 rear cameras including macro mode and night sight pretty cool,0.0020000000949949026,0.03400000184774399,0.9639999866485596
the pixel 7 pro is the phone of the year hands down,0.006000000052154064,0.03099999949336052,0.9629999995231628
pixel 7 is awesomeee i also suggest a z flip tbh theyre super compact and just a cool novelty whenever i have someone elses phone when im done with it i keep trying to flip it lol,0.004999999888241291,0.03200000151991844,0.9629999995231628
pixel 7 pro battery life is looking very impressive and im on the first full day usually pixels take a week to settle in for battery life,0.004999999888241291,0.032999999821186066,0.9620000123977661
ordered a google pixel 7 n it comes in 4 days and im just so excited to not have an iphone anymore,0.007000000216066837,0.03200000151991844,0.9620000123977661
my google pixel 7 has finally arrived,0.003000000026077032,0.03799999877810478,0.9599999785423279
after all these recent camera comparisons its safe to say the iphone 14 pro has the best video quality and the pixel 77 pro is the new king with the best stills around,0.006000000052154064,0.03500000014901161,0.9589999914169312
i am sooo happy with my #googlepixel7pro sells guy tried selling me the flip but i was a girl on a mission to get my hands on the pixel 7,0.007000000216066837,0.03400000184774399,0.9589999914169312
voice to text dictation has improved on the pixel 7 pro it was already so good on the pixel 6 tensor g2 is putting in work,0.004999999888241291,0.03700000047683716,0.9580000042915344
they fixed all the bugs in the pixel 7 lineup and its the smartest phone out there coming from an iphone user,0.007000000216066837,0.03999999910593033,0.953000009059906
